# Kripto olmayan vadeliler (hisse, ETF, emtia, endeks, halka arz öncesi) — araştırma evreninden çıkarılır.
# Yöntem: 2025-10'dan sonra listelenen ve hafta sonu/hafta içi günlük işlem hacmi oranı < 0,35 olan
# semboller (hisse/ETF'lerin dayanağı hafta sonu kapalı; kripto için oran ~0,5–1), artı elle tanınan
# diğer hisse/ETF/emtia adları ve altına bağlı tokenlar (PAXG, XAUT). Oranlar 2025–2026 1d arşivinden.
# symbol  hafta_sonu_orani  ilk_ay  neden
TBTUSDT  0.31  2026-07  oran<0.35
TEMUSDT  0.25  2026-08  oran<0.35
TENCENTUSDT  0.26  2026-07  oran<0.35
TERUSDT  0.14  2026-07  oran<0.35
TMFUSDT  0.20  2026-07  oran<0.35
TQQQUSDT  0.12  2026-06  oran<0.35
TSLAUSDT  0.11  2026-01  oran<0.35
TSMUSDT  0.16  2026-04  oran<0.35
TTWOUSDT  0.25  2026-07  oran<0.35
TXNUSDT  0.20  2026-07  oran<0.35
UBERUSDT  0.29  2026-05  oran<0.35
UNITREEUSDT  0.11  2026-08  oran<0.35
URNMUSDT  0.31  2026-06  oran<0.35
USARUSDT  0.12  2026-05  oran<0.35
UVXYUSDT  0.27  2026-06  oran<0.35
VRTUSDT  0.14  2026-07  oran<0.35
WDCUSDT  0.09  2026-05  oran<0.35
WENUSDT  0.17  2026-07  oran<0.35
WMTUSDT  0.28  2026-05  oran<0.35
XAGUSDT  0.13  2026-01  oran<0.35
XAUUSDT  0.18  2025-12  oran<0.35
XPDUSDT  0.29  2026-01  oran<0.35
XPTUSDT  0.29  2026-01  oran<0.35
ZHIPUUSDT  0.09  2026-07  oran<0.35
ZHONGJIUSDT  0.07  2026-08  oran<0.35
SPYUSDT  0.38  2026-04  ad (hisse/ETF/emtia)
JPMUSDT  0.39  2026-05  ad (hisse/ETF/emtia)
NETUSDT  0.39  2026-08  ad (hisse/ETF/emtia)
DISUSDT  0.43  2026-05  ad (hisse/ETF/emtia)
IONQUSDT  0.44  2026-08  ad (hisse/ETF/emtia)
MARAUSDT  0.45  2026-08  ad (hisse/ETF/emtia)
KOUSDT  0.48  2026-08  ad (hisse/ETF/emtia)
VUSDT  0.49  2026-05  ad (hisse/ETF/emtia)
COSTUSDT  0.50  2026-06  ad (hisse/ETF/emtia)
HDUSDT  0.35  2026-05  ad (hisse/ETF/emtia)
FLEXUSDT  0.35  2026-07  ad (hisse/ETF/emtia)
EWTUSDT  0.37  2026-06  ad (hisse/ETF/emtia)
EWJUSDT  0.44  2026-03  ad (hisse/ETF/emtia)
EWZUSDT  0.72  2026-06  ad (hisse/ETF/emtia)
IWMUSDT  0.70  2026-06  ad (hisse/ETF/emtia)
DKNGUSDT  0.38  2026-06  ad (hisse/ETF/emtia)
BITOUSDT  0.40  2026-07  ad (hisse/ETF/emtia)
COPPERUSDT  0.38  2026-03  ad (hisse/ETF/emtia)
HANMIUSDT  0.40  2026-08  ad (hisse/ETF/emtia)
LGELECTRONICSUSDT  0.47  2026-08  ad (hisse/ETF/emtia)
KODEX200USDT  0.47  2026-08  ad (hisse/ETF/emtia)
OPENAIUSDT  0.48  2026-05  ad (hisse/ETF/emtia)
ANTHROPICUSDT  0.65  2026-06  ad (hisse/ETF/emtia)
BXUSDT  0.45  2026-06  ad (hisse/ETF/emtia)
VSTUSDT  0.46  2026-08  ad (hisse/ETF/emtia)
NAVERUSDT  0.53  2026-08  ad (hisse/ETF/emtia)
EBAYUSDT  0.70  2026-06  ad (hisse/ETF/emtia)
BRKBUSDT  0.53  2026-05  ad (hisse/ETF/emtia)
INXUSDT  2.22  2026-01  ad (hisse/ETF/emtia)
XLEUSDT  0.74  2026-06  ad (hisse/ETF/emtia)
XBIUSDT  0.68  2026-07  ad (hisse/ETF/emtia)
TZAUSDT  0.55  2026-07  ad (hisse/ETF/emtia)
SLXUSDT  0.99  2026-06  ad (hisse/ETF/emtia)
PAXGUSDT  0.34  2025-03  ad (hisse/ETF/emtia)
XAUTUSDT  0.70  2026-03  ad (hisse/ETF/emtia)
