month,rank,symbol,prev_month_quote_volume
2020-12,9,UNIUSDT,4048055134
2020-12,10,EOSUSDT,3554469829
2020-12,11,ADAUSDT,3539768403
2020-12,12,YFIIUSDT,3087981669
2020-12,13,BNBUSDT,2917368132
2020-12,14,SUSHIUSDT,2738671099
2020-12,15,CRVUSDT,2224842727
2020-12,16,DOTUSDT,2057762665
2020-12,17,TRXUSDT,1969117358
2020-12,18,SXPUSDT,1879142904
2020-12,19,WAVESUSDT,1659461173
2020-12,20,ETCUSDT,1625197153
2021-01,1,BTCUSDT,223539719868
2021-01,2,ETHUSDT,64928962218
2021-01,3,XRPUSDT,41591671078
2021-01,4,LTCUSDT,15522285910
2021-01,5,LINKUSDT,8532050039
2021-01,6,BCHUSDT,7045800099
2021-01,7,YFIUSDT,4493360473
2021-01,8,SUSHIUSDT,4479136085
2021-01,9,XLMUSDT,3512876374
2021-01,10,ADAUSDT,3329640326
2021-01,11,EOSUSDT,3224481413
2021-01,12,BNBUSDT,3011937376
2021-01,13,DOTUSDT,2932214672
2021-01,14,UNIUSDT,2053726059
2021-01,15,ZILUSDT,1907413376
2021-01,16,AAVEUSDT,1550379857
2021-01,17,EGLDUSDT,1545022299
2021-01,18,THETAUSDT,1409356130
2021-01,19,TRXUSDT,1329846209
2021-01,20,ETCUSDT,1253822264
2021-02,1,BTCUSDT,428207757019
2021-02,2,ETHUSDT,192332304094
2021-02,3,XRPUSDT,25531901152
2021-02,4,LINKUSDT,21207546123
2021-02,5,LTCUSDT,19236241831
2021-02,6,DOGEUSDT,15336256511
2021-02,7,DOTUSDT,14792677204
2021-02,8,BCHUSDT,12849614461
2021-02,9,XLMUSDT,10367120800
2021-02,10,ADAUSDT,9682027825
2021-02,11,EOSUSDT,6322580477
2021-02,12,UNIUSDT,6260578769
2021-02,13,SUSHIUSDT,5549904858
2021-02,14,YFIUSDT,5417127921
2021-02,15,BNBUSDT,4781754538
2021-02,16,TRXUSDT,3703580782
2021-02,17,CRVUSDT,3455307967
2021-02,18,MKRUSDT,3381514382
2021-02,19,AAVEUSDT,3283335806
2021-02,20,SXPUSDT,2704582789
2021-03,1,BTCUSDT,407140107420
2021-03,2,ETHUSDT,156812888771
2021-03,3,BNBUSDT,57102614824
2021-03,4,XRPUSDT,44686850018
2021-03,5,ADAUSDT,36232784852
2021-03,6,LTCUSDT,20585932502
2021-03,7,DOGEUSDT,19808096559
2021-03,8,DOTUSDT,18947143611
2021-03,9,LINKUSDT,16290006211
2021-03,10,BCHUSDT,14813025033
2021-03,11,EOSUSDT,12292565668
2021-03,12,UNIUSDT,10896019106
2021-03,13,XLMUSDT,10157625337
2021-03,14,AAVEUSDT,8084312638
2021-03,15,SUSHIUSDT,7621715411
2021-03,16,GRTUSDT,6837332802
2021-03,17,TRXUSDT,6780091694
2021-03,18,SXPUSDT,6305035788
2021-03,19,AVAXUSDT,5993859200
2021-03,20,FILUSDT,5711881345
2021-04,1,BTCUSDT,515867567311
2021-04,2,ETHUSDT,128094047457
2021-04,3,BNBUSDT,44976634310
2021-04,4,ADAUSDT,33302984332
2021-04,5,CHZUSDT,22396819746
2021-04,6,XRPUSDT,21244865898
2021-04,7,FILUSDT,17064910598
2021-04,8,DOTUSDT,16363482190
2021-04,9,LTCUSDT,15422695758
2021-04,10,UNIUSDT,10420273643
2021-04,11,LINKUSDT,10125393700
2021-04,12,THETAUSDT,9951937305
2021-04,13,ENJUSDT,8975357919
2021-04,14,TRXUSDT,8018397907
2021-04,15,EOSUSDT,7276614275
2021-04,16,BCHUSDT,7054251644
2021-04,17,SXPUSDT,6947252358
2021-04,18,SUSHIUSDT,6874562543
2021-04,19,AVAXUSDT,6846376776
2021-04,20,STORJUSDT,5817062976
2021-05,1,BTCUSDT,444098532735
2021-05,2,ETHUSDT,202719593674
2021-05,3,XRPUSDT,160311455131
2021-05,4,BNBUSDT,116701568586
2021-05,5,DOGEUSDT,101547758519
2021-05,6,LTCUSDT,34229988998
2021-05,7,ADAUSDT,30721039447
2021-05,8,TRXUSDT,30645166074
2021-05,9,FILUSDT,26933989672
2021-05,10,EOSUSDT,22467289647
2021-05,11,BCHUSDT,22170444434
2021-05,12,LINKUSDT,22098912834
2021-05,13,DOTUSDT,21505693150
2021-05,14,ETCUSDT,14766659862
2021-05,15,VETUSDT,14411616421
2021-05,16,CHZUSDT,14292436977
2021-05,17,XLMUSDT,12714362373
2021-05,18,UNIUSDT,11988972744
2021-05,19,SOLUSDT,11102852644
2021-05,20,SXPUSDT,11057687704
2021-06,1,BTCUSDT,726896718668
2021-06,2,ETHUSDT,432421805064
2021-06,3,DOGEUSDT,132427537250
2021-06,4,XRPUSDT,111078836394
2021-06,5,ETCUSDT,87683332283
2021-06,6,BNBUSDT,74667344002
2021-06,7,ADAUSDT,65938314541
2021-06,8,EOSUSDT,60749324562
2021-06,9,MATICUSDT,53156212993
2021-06,10,LTCUSDT,44228191481
2021-06,11,BCHUSDT,35886259454
2021-06,12,DOTUSDT,29986183471
